"Index","Ref30","Ref10","Ref01","BCG2","BCG3","BCG4","BCG5"
"CSCI",0.92,0.79,0.63,1.025,0.825,0.625,0.325
"ASCI_D",0.910851912839633,0.782136233857418,0.604520861413057,1.31,0.95,0.54,0
"ASCI_S",0.926583928220874,0.820582780823756,0.674311297634282,1.36,0.86,0.36,0
"ASCI_H",0.931827933347955,0.833398296479202,0.697574776374691,1.23,0.97,0.67,0.3
